"","PEMEX","CHEVRON","MOBIL","REPSOL","TOTAL","BP","G500"
"2018-07-31",11.73,100.446891784668,1485.07385253906,12.2380838394165,46.6727256774902,33.6844940185547,4804
"2018-08-01",11.72,99.7468414306641,1480.07067871094,12.3182611465454,46.1863288879395,33.2661437988281,4851.5
"2018-08-02",11.92,98.4501876831055,1471.17004394531,12.3729295730591,45.635555267334,32.6983871459961,4773.75
"2018-08-03",12.53,98.6808700561523,1471.17004394531,12.3219060897827,45.5068016052246,32.8477973937988,4797.25
"2018-08-06",12.5,98.8797454833984,1430.81164550781,12.3073272705078,45.3708953857422,32.9673194885254,4704.25
"2018-08-07",12.38,99.5797958374023,1485.28100585938,12.3838624954224,46.3150787353516,33.4080848693848,4728.25
"2018-08-08",12.12,98.5456466674805,1470.27221679688,12.3765716552734,46.0647315979004,33.3408508300781,4828.75
"2018-08-09",11.96,97.4717178344727,1470.27221679688,12.4458169937134,45.6641693115234,32.9734649658203,4820.75
"2018-08-10",11.54,98.1160507202148,1471.08178710938,12.4421739578247,44.2192764282227,32.5644264221191,4854
"2018-08-13",11.5,97.400146484375,1471.08178710938,12.394793510437,43.9975395202637,32.3296051025391,4890.5
"2018-08-14",11.55,97.5115051269531,1471.08178710938,12.2818164825439,43.5826759338379,32.2765769958496,4912.75
"2018-08-15",11.06,93.820426940918,1471.08178710938,12.1797723770142,42.1091728210449,31.4584922790527,4919.5
"2018-08-16",10.93,94.4950485229492,1471.08178710938,12.0631484985352,42.7028656005859,31.6024188995361,4915
"2018-08-17",10.71,94.6074905395508,1471.08178710938,11.7971038818359,42.9818153381348,31.7463359832764,4931.25
"2018-08-20",10.64,94.5673217773438,1473.06591796875,11.840838432312,43.4038467407227,32.1023635864258,4940.25
"2018-08-21",10.26,94.7199249267578,1473.07592773438,11.8153266906738,44.1620635986328,32.162956237793,4983.75
"2018-08-22",10.49,95.506965637207,1479.58239746094,11.8809261322021,44.6126861572266,32.5568504333496,4955.75
"2018-08-23",10.22,94.8483963012695,1479.58239746094,11.9720363616943,44.941722869873,32.5265464782715,4924.75
"2018-08-24",10.31,95.5792541503906,1482.939453125,12.0376377105713,45.8143730163574,32.8901405334473,4912.75
"2018-08-27",10.5,96.6554183959961,1474.63598632812,11.964750289917,46.4939002990723,33.2310066223145,4952.75
"2018-08-28",10.35,96.2619018554688,1474.63598632812,12.0267038345337,45.6498680114746,32.7689476013184,4897.25
"2018-08-29",10.75,96.5510330200195,1515.5205078125,12.0631484985352,45.7643089294434,32.8674240112305,4857.5
"2018-08-30",10.5,96.2217559814453,1518.70959472656,12.0995950698853,45.5068016052246,33.0113487243652,4916.5
"2018-08-31",10.87,95.1375350952148,1504.818359375,12.1251049041748,44.8773422241211,32.4810981750488,4903.5
"2018-09-04",10.4,95.4668273925781,1504.818359375,12.150616645813,44.4767837524414,32.3599090576172,4822.75
"2018-09-05",10.56,95.506965637207,1539.21594238281,12.0740842819214,43.8759346008301,32.4053535461426,4911
"2018-09-06",10.63,92.5434722900391,1550.07629394531,12.161548614502,43.3108558654785,31.9735832214355,4901
"2018-09-07",11.04,92.037483215332,1550.07629394531,12.3182611465454,43.053352355957,31.8372364044189,4880
"2018-09-10",10.88,91.9411315917969,1552.52502441406,12.0522155761719,42.9174461364746,31.882682800293,4825.25
"2018-09-11",10.44,92.3748092651367,1552.52502441406,11.9027919769287,44.1405944824219,32.3068771362305,4711.75
"2018-09-12",10.74,92.9932098388672,1552.52502441406,11.9246606826782,44.591236114502,32.6553192138672,4892.75
"2018-09-13",10.44,93.4028091430664,1552.52502441406,11.9683933258057,44.9560279846191,32.8901405334473,4911.75
"2018-09-14",10.59,94.2701721191406,1552.52502441406,12.2052841186523,44.8058166503906,32.7689476013184,4925.25
"2018-09-17",10.92,94.3745880126953,1552.52502441406,12.4822616577148,44.6198387145996,32.7537956237793,4987.5
"2018-09-18",11.22,94.8725128173828,1552.52502441406,12.3765716552734,45.1348533630371,32.9961967468262,4954
"2018-09-19",11.25,95.9808120727539,1552.52502441406,12.3547067642212,45.0990905761719,33.314338684082,4972.5
"2018-09-20",11.36,95.9085311889648,1552.52502441406,12.3401288986206,45.8000717163086,33.7612533569336,5006.5
"2018-09-21",11.5,97.2818603515625,1552.52502441406,12.3911504745483,45.8319129943848,33.8369979858398,4983.75
"2018-09-24",11.39,98.478515625,1552.52502441406,12.3911504745483,46.3964042663574,34.2536239624023,5006.5
"2018-09-25",11.43,99.0808639526367,1552.52502441406,0,47.1490516662598,35.0868606567383,4950
"2018-09-26",11.65,97.9404296875,1623.46313476562,12.0121259689331,46.8668060302734,35.0414123535156,4980
"2018-09-27",12.23,98.3580474853516,1623.46313476562,12.2307949066162,47.1273498535156,35.5034713745117,4975.25
"2018-09-28",12.07,98.2054672241211,1623.46313476562,12.4130191802979,46.5990333557129,34.9202117919922,4970.5
"2018-10-01",12.08,99.9000396728516,1623.46313476562,12.5004844665527,47.3589172363281,35.4277267456055,4909
"2018-10-02",13.16,100.181137084961,1579.69567871094,12.5369300842285,46.9753608703613,35.4580345153809,4969.5
"2018-10-03",13.55,100.63890838623,1604.6748046875,12.511417388916,46.9608879089355,35.5943832397461,4993
"2018-10-04",13.69,100.349784851074,1613.36279296875,12.5624408721924,46.6062774658203,35.4277267456055,4995
"2018-10-05",13.91,100.654968261719,1617.66760253906,12.5369300842285,46.0128517150879,35.2232093811035,5007.25
"2018-10-08",15.38,100.261436462402,1617.66760253906,12.5041303634644,45.0792655944824,34.7005424499512,5060
"2018-10-09",16.08,101.851623535156,1609.90734863281,12.5041303634644,45.7305946350098,34.8520393371582,5153
"2018-10-10",15.1,98.4624557495117,1633.01049804688,12.4093723297119,45.614803314209,34.2005996704102,5146.5
"2018-10-11",14.86,95.1134338378906,1606.05688476562,12.2563056945801,44.5582046508789,33.4279632568359,5168
"2018-10-12",15.35,94.583381652832,1543.48095703125,12.4203062057495,44.5654335021973,33.7461090087891,5178.5
"2018-10-15",15.41,93.9167938232422,1543.48095703125,12.4458169937134,44.9562377929688,33.7082405090332,5208
"2018-10-16",15.98,94.3745880126953,1543.48095703125,11.9829711914062,44.8693923950195,33.859733581543,5222
"2018-10-17",16.06,94.1978912353516,1500.71105957031,11.8955049514771,44.637809753418,33.5946083068848,5235
"2018-10-18",15.33,94.3424606323242,1511.07763671875,11.9392385482788,43.805549621582,33.2234344482422,5254
"2018-10-19",15.49,94.8805465698242,1551.75476074219,11.9574613571167,44.0081901550293,33.3294906616211,5274
